stateabbr,statedesc,counties_analyzed,mean_burden,median_burden,max_burden,min_burden,mean_percentile,very_low_count,low_count,moderate_count,high_count,very_high_count,high_burden_count,very_high_burden_count,high_or_very_high_count,high_or_very_high_pct,state_burden_rank
NE,Nebraska,93,-0.6768892740974005,-0.6856539013617038,0.4218170842918263,-1.345978678597052,21.63341918023484,44,43,5,1,0,1,0,1,1.0752688172043012,38
NY,New York,62,-0.7599630987394677,-0.7240389440349637,0.2217125779523981,-1.732023771276716,20.24859225631847,34,23,4,1,0,1,0,1,1.6129032258064515,39
UT,Utah,29,-0.7620870826421084,-0.7423104929724095,0.5209334390451397,-1.9700704606295083,20.78881060146517,17,9,2,1,0,1,0,1,3.4482758620689653,40
VT,Vermont,14,-0.9536996726854979,-0.995970074078321,-0.1286639700689895,-1.647586579491125,13.357819447129327,10,3,1,0,0,0,0,0,0.0,41
CO,Colorado,64,-0.9552306839968099,-0.8762293941650435,0.7288634117917645,-2.026000639272793,18.09138193504736,39,16,7,1,1,1,1,2,3.125,42
CT,Connecticut,9,-0.9959271569523023,-0.8971633285685414,-0.7056065142012756,-1.6087228030319232,10.54728612238761,9,0,0,0,0,0,0,0,0.0,43
NH,New Hampshire,10,-1.0370374116013277,-1.0935335668599888,-0.3181690901748176,-1.426624739108472,10.03382949932341,9,1,0,0,0,0,0,0,0.0,44
MA,Massachusetts,14,-1.0812729530661689,-1.0676382240446076,-0.0421086598995871,-1.7091792578132454,11.294219988401318,12,1,1,0,0,0,0,0,0.0,45
RI,Rhode Island,5,-1.0909321580525353,-1.3778507975139946,-0.4320738597279612,-1.4564444760758504,11.217861975642759,4,1,0,0,0,0,0,0,0.0,46
HI,Hawaii,5,-1.0974516660286617,-1.2709920023426435,-0.692350247424897,-1.3710667525431324,8.450608930987821,5,0,0,0,0,0,0,0,0.0,47
NJ,New Jersey,21,-1.1245203176032839,-1.1051460744888462,0.2482079339613427,-1.9692836463071115,11.067079064372702,18,2,0,1,0,1,0,1,4.761904761904762,48
DC,District of Columbia,1,-1.5329140846532132,-1.5329140846532132,-1.5329140846532132,-1.5329140846532132,1.8267929634641409,1,0,0,0,0,0,0,0,0.0,49
