stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
OK,Oklahoma,Craig,PHLTH,Frequent physical distress among adults,Health Status,16.4,16.4
SD,South Dakota,Todd,DIABETES,Diagnosed diabetes among adults,Health Outcomes,22.9,14.2
SC,South Carolina,Hampton,SELFCARE,Self-care disability among adults,Disability,6.1,5.4
OK,Oklahoma,Seminole,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.1,14.3
TN,Tennessee,Cocke,COGNITION,Cognitive disability among adults,Disability,22.5,20.4
RI,Rhode Island,Washington,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,76.7,67.4
SC,South Carolina,Barnwell,SLEEP,Short sleep duration among adults,Health Risk Behaviors,45.7,42.3
OK,Oklahoma,Haskell,COGNITION,Cognitive disability among adults,Disability,20.4,20.4
SD,South Dakota,Todd,INDEPLIVE,Independent living disability among adults,Disability,19.8,11.6
OK,Oklahoma,Kiowa,CHD,Coronary heart disease among adults,Health Outcomes,7.4,7.0
SC,South Carolina,Orangeburg,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,14.5,13.4
OK,Oklahoma,Sequoyah,DISABILITY,Any disability among adults,Disability,44.9,39.4
OK,Oklahoma,McCurtain,DISABILITY,Any disability among adults,Disability,42.1,39.4
SC,South Carolina,Orangeburg,BPHIGH,High blood pressure among adults,Health Outcomes,42.4,39.8
OK,Oklahoma,Pushmataha,CASTHMA,Current asthma among adults,Health Outcomes,12.7,11.8
OK,Oklahoma,Hughes,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,22.5,20.8
OK,Oklahoma,Latimer,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,26.9,26.2
OK,Oklahoma,Creek,HEARING,Hearing disability among adults,Disability,8.7,8.2
SC,South Carolina,Chesterfield,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,28.0,26.2
