stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
SC,South Carolina,Charleston,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.9,85.9
TN,Tennessee,Clay,ARTHRITIS,Arthritis among adults,Health Outcomes,30.3,28.0
OK,Oklahoma,Okmulgee,BPHIGH,High blood pressure among adults,Health Outcomes,39.8,39.8
SD,South Dakota,Hyde,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,67.4,67.4
TN,Tennessee,Chester,ARTHRITIS,Arthritis among adults,Health Outcomes,28.8,28.0
TN,Tennessee,Cocke,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.7,34.8
OR,Oregon,Deschutes,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.9,7.6
OK,Oklahoma,Kiowa,DISABILITY,Any disability among adults,Disability,41.0,39.4
SD,South Dakota,Jackson,STROKE,Stroke among adults,Health Outcomes,5.4,4.1
SC,South Carolina,Marlboro,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,78.9,78.9
TN,Tennessee,Campbell,HEARING,Hearing disability among adults,Disability,8.3,8.2
SD,South Dakota,Todd,CHD,Coronary heart disease among adults,Health Outcomes,10.9,7.0
OK,Oklahoma,Pushmataha,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
SC,South Carolina,Spartanburg,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.8,78.6
SC,South Carolina,Dorchester,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.3,78.9
SC,South Carolina,Orangeburg,OBESITY,Obesity among adults,Health Outcomes,43.1,43.0
OK,Oklahoma,Le Flore,HEARING,Hearing disability among adults,Disability,9.6,8.2
OR,Oregon,Clatsop,CASTHMA,Current asthma among adults,Health Outcomes,12.3,11.8
SC,South Carolina,Allendale,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,67.0,62.5
OK,Oklahoma,McCurtain,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,22.5,22.1
SD,South Dakota,Ziebach,GHLTH,Fair or poor self-rated health status among adults,Health Status,31.5,26.9
SC,South Carolina,Fairfield,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.1,78.9
SD,South Dakota,Bennett,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,29.0,20.8
OK,Oklahoma,Ottawa,CHD,Coronary heart disease among adults,Health Outcomes,7.5,7.0
RI,Rhode Island,Bristol,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,74.5,67.4
SD,South Dakota,Dewey,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.2,9.1
OK,Oklahoma,Hughes,HEARING,Hearing disability among adults,Disability,9.8,8.2
OR,Oregon,Lincoln,CASTHMA,Current asthma among adults,Health Outcomes,12.7,11.8
OK,Oklahoma,Sequoyah,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,13.7,13.4
TN,Tennessee,Bledsoe,DISABILITY,Any disability among adults,Disability,41.9,39.4
OR,Oregon,Columbia,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
SD,South Dakota,Hughes,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
SC,South Carolina,Marlboro,BPHIGH,High blood pressure among adults,Health Outcomes,44.7,39.8
OK,Oklahoma,Okmulgee,CHD,Coronary heart disease among adults,Health Outcomes,7.0,7.0
OK,Oklahoma,McCurtain,COGNITION,Cognitive disability among adults,Disability,20.7,20.4
TN,Tennessee,Claiborne,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,21.5,20.8
OK,Oklahoma,Pushmataha,DEPRESSION,Depression among adults,Health Outcomes,28.9,28.4
SD,South Dakota,Todd,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,37.9,20.8
SD,South Dakota,Todd,GHLTH,Fair or poor self-rated health status among adults,Health Status,39.1,26.9
OK,Oklahoma,McIntosh,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,37.0,34.3
