stateabbr,statedesc,locationname,locationid,totalpopulation,indicator_count,indicator_completeness,health_burden_score,burden_percentile
TN,Tennessee,Lauderdale,47097,24610,11,1.0,1.680667523384927,97.49661705006766
WV,West Virginia,Braxton,54007,12162,11,1.0,1.6753599097858125,97.46278755074424
MS,Mississippi,Bolivar,28011,28968,11,1.0,1.6744607708194996,97.42895805142084
AL,Alabama,Conecuh,1035,11174,11,1.0,1.6582885430700147,97.39512855209745
LA,Louisiana,Franklin,22041,19285,11,1.0,1.652494529022904,97.36129905277402
GA,Georgia,Stewart,13259,4674,11,1.0,1.6501461608342785,97.3274695534506
AL,Alabama,Dallas,1047,36165,11,1.0,1.643727217728466,97.2936400541272
SD,South Dakota,Bennett,46007,3305,11,1.0,1.643449265419472,97.2598105548038
GA,Georgia,Terrell,13273,8718,11,1.0,1.6372949766615987,97.22598105548036
AR,Arkansas,Chicot,5017,9538,11,1.0,1.6365053392041835,97.19215155615696
AK,Alaska,Bethel,2050,18224,11,1.0,1.632745819680868,97.15832205683355
MS,Mississippi,Washington,28151,41946,11,1.0,1.6223027529102736,97.12449255751014
GA,Georgia,Treutlen,13283,6341,11,1.0,1.6212059906926286,97.09066305818676
LA,Louisiana,St. Helena,22091,10774,11,1.0,1.6153767597302406,97.05683355886332
SC,South Carolina,Marlboro,45069,25704,11,1.0,1.609773090693586,97.02300405953991
SC,South Carolina,Marion,45067,28508,11,1.0,1.5970588309003817,96.98917456021653
OK,Oklahoma,Okfuskee,40107,11300,11,1.0,1.585771280266152,96.9553450608931
TN,Tennessee,Bledsoe,47007,15060,11,1.0,1.582566529387914,96.92151556156968
MS,Mississippi,Wilkinson,28157,8058,11,1.0,1.5781266404364591,96.88768606224627
MO,Missouri,Mississippi,29133,11822,11,1.0,1.5769667033864307,96.85385656292289
LA,Louisiana,Evangeline,22039,31754,11,1.0,1.562567759445122,96.82002706359944
AL,Alabama,Sumter,1119,11727,11,1.0,1.5620582783208052,96.78619756427604
SC,South Carolina,Allendale,45005,7369,11,1.0,1.5555020226397729,96.75236806495263
GA,Georgia,Taylor,13269,7758,11,1.0,1.5542528157866604,96.71853856562925
WV,West Virginia,Summers,54089,11581,11,1.0,1.5511855078345678,96.6847090663058
LA,Louisiana,St. Landry,22097,81464,11,1.0,1.5349559768146803,96.6508795669824
TN,Tennessee,Pickett,47137,5128,11,1.0,1.527852001562796,96.617050067659
MT,Montana,Glacier,30035,13609,11,1.0,1.5265176780177063,96.5832205683356
MS,Mississippi,Tallahatchie,28135,11837,11,1.0,1.5112409307123746,96.54939106901216
GA,Georgia,Jenkins,13165,8627,11,1.0,1.510318095867983,96.51556156968876
TX,Texas,Hudspeth,48229,3451,11,1.0,1.4998253871866751,96.48173207036535
LA,Louisiana,Catahoula,22025,8414,11,1.0,1.4968296015279172,96.44790257104194
TN,Tennessee,Decatur,47039,11656,11,1.0,1.4877843028484887,96.41407307171856
