stateabbr,statedesc,measureid,measure,category,county_count,mean_prevalence,median_prevalence,min_prevalence,max_prevalence
AL,Alabama,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,67,26.97,26.0,21.2,34.4
AL,Alabama,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,67,24.01,21.5,11.6,44.4
AL,Alabama,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,67,18.93,16.5,7.0,42.2
AL,Alabama,GHLTH,Fair or poor self-rated health status among adults,Health Status,67,25.09,24.7,15.3,37.8
AL,Alabama,HEARING,Hearing disability among adults,Disability,67,7.64,7.6,6.1,9.0
AL,Alabama,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,67,35.99,35.9,34.0,37.7
AL,Alabama,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,67,17.61,15.9,9.5,31.8
AL,Alabama,INDEPLIVE,Independent living disability among adults,Disability,67,11.08,10.8,6.7,16.4
AL,Alabama,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,67,12.13,11.0,6.5,22.1
AL,Alabama,LONELINESS,Loneliness among adults,Health-Related Social Needs,67,37.18,37.1,31.5,41.3
AL,Alabama,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,67,30.79,30.5,19.9,42.7
AL,Alabama,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,67,75.19,74.8,69.2,84.2
AL,Alabama,MHLTH,Frequent mental distress among adults,Health Status,67,19.4,19.6,15.4,21.7
AL,Alabama,MOBILITY,Mobility disability among adults,Disability,67,16.89,16.5,10.6,25.1
AL,Alabama,OBESITY,Obesity among adults,Health Outcomes,67,41.93,40.8,31.6,54.0
AL,Alabama,PHLTH,Frequent physical distress among adults,Health Status,67,14.78,14.9,10.6,18.5
AL,Alabama,SELFCARE,Self-care disability among adults,Disability,67,4.97,4.7,2.7,9.0
AL,Alabama,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,67,12.48,10.8,6.5,25.5
AL,Alabama,SLEEP,Short sleep duration among adults,Health Risk Behaviors,67,41.78,41.5,34.1,51.0
AL,Alabama,STROKE,Stroke among adults,Health Outcomes,67,3.94,3.8,2.5,6.2
AL,Alabama,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,67,19.44,18.1,10.9,35.1
AL,Alabama,VISION,Vision disability among adults,Disability,67,6.61,6.1,3.6,11.9
AR,Arkansas,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,75,12.56,12.2,9.3,21.2
AR,Arkansas,ARTHRITIS,Arthritis among adults,Health Outcomes,75,26.36,26.5,21.6,29.3
AR,Arkansas,BINGE,Binge drinking among adults,Health Risk Behaviors,75,15.56,15.9,12.3,17.4
AR,Arkansas,BPHIGH,High blood pressure among adults,Health Outcomes,75,39.58,38.5,31.7,49.0
AR,Arkansas,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,75,60.51,59.8,56.4,66.3
AR,Arkansas,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,75,6.82,7.0,5.5,7.5
AR,Arkansas,CASTHMA,Current asthma among adults,Health Outcomes,75,10.7,10.6,9.2,12.4
AR,Arkansas,CHD,Coronary heart disease among adults,Health Outcomes,75,6.92,6.9,5.3,8.2
AR,Arkansas,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,75,76.95,76.6,74.9,80.6
AR,Arkansas,CHOLSCREEN,Cholesterol screening among adults,Prevention,75,82.05,81.9,79.9,85.4
AR,Arkansas,COGNITION,Cognitive disability among adults,Disability,75,20.44,20.5,15.1,24.1
AR,Arkansas,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,75,55.04,55.1,50.4,60.0
AR,Arkansas,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,75,8.48,8.4,5.6,10.7
AR,Arkansas,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,75,18.68,18.7,11.6,23.1
AR,Arkansas,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,75,49.63,49.4,39.1,62.8
