stateabbr,statedesc,measureid,measure,category,county_count,mean_prevalence,median_prevalence,min_prevalence,max_prevalence
IA,Iowa,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,99,16.25,16.4,10.7,20.4
IA,Iowa,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,99,65.57,65.5,58.3,75.3
IA,Iowa,DEPRESSION,Depression among adults,Health Outcomes,99,21.52,21.6,18.3,23.8
IA,Iowa,DIABETES,Diagnosed diabetes among adults,Health Outcomes,99,9.76,9.7,8.4,12.2
IA,Iowa,DISABILITY,Any disability among adults,Disability,99,27.39,27.5,22.4,32.4
IA,Iowa,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,99,24.23,24.1,21.2,28.2
IA,Iowa,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,99,13.01,12.8,8.3,19.8
IA,Iowa,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,99,11.03,11.0,6.2,16.7
IA,Iowa,GHLTH,Fair or poor self-rated health status among adults,Health Status,99,17.6,17.6,12.9,22.7
IA,Iowa,HEARING,Hearing disability among adults,Disability,99,6.63,6.6,5.3,7.7
IA,Iowa,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,99,30.46,30.4,28.4,33.3
IA,Iowa,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,99,10.49,10.3,7.7,14.9
IA,Iowa,INDEPLIVE,Independent living disability among adults,Disability,99,7.56,7.6,5.4,9.7
IA,Iowa,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,99,7.35,7.2,5.3,9.9
IA,Iowa,LONELINESS,Loneliness among adults,Health-Related Social Needs,99,33.1,33.1,28.9,35.9
IA,Iowa,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,99,25.07,25.2,19.2,31.5
IA,Iowa,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,99,77.42,77.5,71.9,83.3
IA,Iowa,MHLTH,Frequent mental distress among adults,Health Status,99,17.75,17.8,14.6,19.6
IA,Iowa,MOBILITY,Mobility disability among adults,Disability,99,11.37,11.4,8.4,14.1
IA,Iowa,OBESITY,Obesity among adults,Health Outcomes,99,39.52,39.7,32.4,44.4
IA,Iowa,PHLTH,Frequent physical distress among adults,Health Status,99,12.42,12.4,9.8,14.5
IA,Iowa,SELFCARE,Self-care disability among adults,Disability,99,3.22,3.2,2.2,4.2
IA,Iowa,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,99,7.19,7.1,5.0,9.7
IA,Iowa,SLEEP,Short sleep duration among adults,Health Risk Behaviors,99,33.71,33.9,27.6,38.9
IA,Iowa,STROKE,Stroke among adults,Health Outcomes,99,2.88,2.9,2.3,3.5
IA,Iowa,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,99,12.45,11.9,5.6,22.2
IA,Iowa,VISION,Vision disability among adults,Disability,99,4.16,4.1,2.9,5.8
ID,Idaho,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,44,12.37,11.35,8.4,20.9
ID,Idaho,ARTHRITIS,Arthritis among adults,Health Outcomes,44,24.14,23.9,20.5,27.0
ID,Idaho,BINGE,Binge drinking among adults,Health Risk Behaviors,44,16.17,15.95,12.9,18.5
ID,Idaho,BPHIGH,High blood pressure among adults,Health Outcomes,44,29.39,29.65,24.7,32.2
ID,Idaho,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,44,51.39,51.5,49.4,53.1
ID,Idaho,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,44,7.07,7.1,6.3,7.6
ID,Idaho,CASTHMA,Current asthma among adults,Health Outcomes,44,10.89,10.8,9.9,11.8
ID,Idaho,CHD,Coronary heart disease among adults,Health Outcomes,44,5.75,5.7,4.7,7.1
ID,Idaho,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,44,71.36,71.1,69.8,75.1
ID,Idaho,CHOLSCREEN,Cholesterol screening among adults,Prevention,44,78.3,78.15,75.3,81.8
ID,Idaho,COGNITION,Cognitive disability among adults,Disability,44,17.43,17.25,13.9,21.1
ID,Idaho,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,44,54.04,53.85,49.4,60.9
ID,Idaho,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,44,6.53,6.4,4.7,9.0
ID,Idaho,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,44,13.86,13.8,9.8,18.1
ID,Idaho,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,44,62.97,63.2,54.6,71.7
ID,Idaho,DEPRESSION,Depression among adults,Health Outcomes,44,23.36,23.3,20.1,26.1
ID,Idaho,DIABETES,Diagnosed diabetes among adults,Health Outcomes,44,9.49,9.2,7.7,11.7
ID,Idaho,DISABILITY,Any disability among adults,Disability,44,34.85,34.7,28.3,40.9
ID,Idaho,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,44,21.06,21.0,18.3,24.4
ID,Idaho,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,44,15.23,14.6,10.2,22.4
ID,Idaho,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,44,10.89,10.2,6.6,17.1
ID,Idaho,GHLTH,Fair or poor self-rated health status among adults,Health Status,44,18.82,18.3,14.4,24.4
ID,Idaho,HEARING,Hearing disability among adults,Disability,44,8.83,8.9,7.4,10.4
ID,Idaho,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,44,28.81,28.75,25.9,30.8
ID,Idaho,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,44,12.37,11.65,9.1,17.6
ID,Idaho,INDEPLIVE,Independent living disability among adults,Disability,44,8.81,8.65,6.5,11.6
ID,Idaho,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,44,8.63,8.3,6.3,11.4
ID,Idaho,LONELINESS,Loneliness among adults,Health-Related Social Needs,44,30.28,30.35,27.4,32.4
ID,Idaho,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,44,23.89,23.45,17.9,29.9
ID,Idaho,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,44,66.82,66.1,60.5,75.4
ID,Idaho,MHLTH,Frequent mental distress among adults,Health Status,44,17.4,17.3,14.7,19.9
ID,Idaho,MOBILITY,Mobility disability among adults,Disability,44,14.04,13.95,10.6,17.4
ID,Idaho,OBESITY,Obesity among adults,Health Outcomes,44,33.53,33.5,23.1,39.2
ID,Idaho,PHLTH,Frequent physical distress among adults,Health Status,44,13.85,13.8,11.2,16.4
ID,Idaho,SELFCARE,Self-care disability among adults,Disability,44,3.71,3.55,2.7,5.1
ID,Idaho,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,44,8.09,7.95,5.7,10.8
ID,Idaho,SLEEP,Short sleep duration among adults,Health Risk Behaviors,44,33.8,34.0,27.9,37.6
ID,Idaho,STROKE,Stroke among adults,Health Outcomes,44,3.09,3.05,2.5,3.8
ID,Idaho,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,44,16.17,16.1,6.8,23.5
ID,Idaho,VISION,Vision disability among adults,Disability,44,5.19,4.85,3.7,7.2
IL,Illinois,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,102,8.95,8.8,6.0,13.3
IL,Illinois,ARTHRITIS,Arthritis among adults,Health Outcomes,102,23.9,24.0,19.0,26.7
IL,Illinois,BINGE,Binge drinking among adults,Health Risk Behaviors,102,20.09,20.2,17.0,21.9
IL,Illinois,BPHIGH,High blood pressure among adults,Health Outcomes,102,31.98,31.8,27.1,38.7
IL,Illinois,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,102,56.97,56.8,55.0,60.9
IL,Illinois,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,102,7.2,7.3,5.7,7.6
IL,Illinois,CASTHMA,Current asthma among adults,Health Outcomes,102,10.51,10.5,8.9,11.9
IL,Illinois,CHD,Coronary heart disease among adults,Health Outcomes,102,5.62,5.6,4.3,7.0
IL,Illinois,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,102,75.55,75.4,74.4,78.3
IL,Illinois,CHOLSCREEN,Cholesterol screening among adults,Prevention,102,84.17,84.0,82.1,87.3
IL,Illinois,COGNITION,Cognitive disability among adults,Disability,102,14.79,15.0,10.5,18.4
IL,Illinois,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,102,56.11,56.1,51.6,62.3
IL,Illinois,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,102,6.89,6.9,4.3,9.3
IL,Illinois,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,102,15.5,15.7,9.5,20.7
IL,Illinois,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,102,60.52,59.75,49.8,70.4
IL,Illinois,DEPRESSION,Depression among adults,Health Outcomes,102,23.33,23.5,17.9,25.5
IL,Illinois,DIABETES,Diagnosed diabetes among adults,Health Outcomes,102,10.17,10.15,7.8,14.5
IL,Illinois,DISABILITY,Any disability among adults,Disability,102,29.31,29.55,21.2,36.5
IL,Illinois,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,102,25.43,25.25,22.3,30.0
IL,Illinois,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,102,15.5,15.5,8.9,27.3
IL,Illinois,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,102,15.03,14.8,7.8,30.2
IL,Illinois,GHLTH,Fair or poor self-rated health status among adults,Health Status,102,18.84,18.9,13.4,26.7
IL,Illinois,HEARING,Hearing disability among adults,Disability,102,6.34,6.4,4.8,7.2
IL,Illinois,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,102,31.72,31.7,30.3,33.4
IL,Illinois,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,102,12.91,12.9,8.5,21.1
IL,Illinois,INDEPLIVE,Independent living disability among adults,Disability,102,8.44,8.4,5.7,12.0
IL,Illinois,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,102,8.3,8.3,5.4,13.8
IL,Illinois,LONELINESS,Loneliness among adults,Health-Related Social Needs,102,34.52,34.6,31.5,37.3
IL,Illinois,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,102,23.41,23.6,17.2,30.9
IL,Illinois,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,102,70.62,70.5,63.1,76.3
IL,Illinois,MHLTH,Frequent mental distress among adults,Health Status,102,18.56,18.7,14.2,21.0
IL,Illinois,MOBILITY,Mobility disability among adults,Disability,102,12.35,12.35,9.1,17.5
IL,Illinois,OBESITY,Obesity among adults,Health Outcomes,102,38.65,38.95,29.1,45.7
IL,Illinois,PHLTH,Frequent physical distress among adults,Health Status,102,13.02,13.1,9.6,16.0
IL,Illinois,SELFCARE,Self-care disability among adults,Disability,102,3.49,3.5,2.3,5.7
IL,Illinois,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,102,8.32,8.25,5.2,15.2
IL,Illinois,SLEEP,Short sleep duration among adults,Health Risk Behaviors,102,37.19,37.2,31.0,42.7
IL,Illinois,STROKE,Stroke among adults,Health Outcomes,102,3.03,3.0,2.3,4.4
IL,Illinois,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,102,13.83,13.65,5.3,24.7
IL,Illinois,VISION,Vision disability among adults,Disability,102,4.62,4.6,3.0,7.5
IN,Indiana,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,92,9.08,8.95,5.4,13.0
IN,Indiana,ARTHRITIS,Arthritis among adults,Health Outcomes,92,26.19,26.2,21.7,28.9
IN,Indiana,BINGE,Binge drinking among adults,Health Risk Behaviors,92,17.92,17.9,16.2,19.5
IN,Indiana,BPHIGH,High blood pressure among adults,Health Outcomes,92,34.69,34.85,29.6,38.0
IN,Indiana,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,92,59.51,59.5,57.4,62.3
IN,Indiana,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,92,7.32,7.4,6.4,7.6
IN,Indiana,CASTHMA,Current asthma among adults,Health Outcomes,92,11.33,11.3,10.2,12.4
IN,Indiana,CHD,Coronary heart disease among adults,Health Outcomes,92,6.02,6.0,4.4,7.6
IN,Indiana,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,92,77.57,77.55,74.8,80.5
IN,Indiana,CHOLSCREEN,Cholesterol screening among adults,Prevention,92,83.65,83.6,80.5,88.3
IN,Indiana,COGNITION,Cognitive disability among adults,Disability,92,16.32,16.3,10.7,20.1
IN,Indiana,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,92,60.43,60.4,54.7,67.0
IN,Indiana,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,92,7.74,7.7,4.3,10.9
IN,Indiana,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,92,17.62,17.8,9.3,23.7
IN,Indiana,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,92,59.47,59.3,50.4,74.6
IN,Indiana,DEPRESSION,Depression among adults,Health Outcomes,92,26.72,26.9,21.0,29.6
IN,Indiana,DIABETES,Diagnosed diabetes among adults,Health Outcomes,92,11.27,11.2,8.6,13.5
IN,Indiana,DISABILITY,Any disability among adults,Disability,92,31.15,31.15,22.0,37.3
IN,Indiana,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,92,23.58,23.6,18.4,27.0
IN,Indiana,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,92,14.92,15.1,7.6,21.3
IN,Indiana,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,92,8.87,9.0,3.6,15.2
IN,Indiana,GHLTH,Fair or poor self-rated health status among adults,Health Status,92,20.43,20.7,12.3,26.4
IN,Indiana,HEARING,Hearing disability among adults,Disability,92,6.68,6.7,5.0,8.2
IN,Indiana,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,92,33.8,33.9,30.3,35.9
IN,Indiana,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,92,11.73,11.85,6.9,15.3
IN,Indiana,INDEPLIVE,Independent living disability among adults,Disability,92,8.36,8.45,4.9,11.3
IN,Indiana,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,92,7.91,8.0,4.8,10.8
IN,Indiana,LONELINESS,Loneliness among adults,Health-Related Social Needs,92,33.56,33.7,29.0,37.8
IN,Indiana,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,92,25.22,25.6,15.7,30.9
IN,Indiana,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,92,74.21,74.2,67.6,80.5
IN,Indiana,MHLTH,Frequent mental distress among adults,Health Status,92,19.2,19.3,14.2,21.8
IN,Indiana,MOBILITY,Mobility disability among adults,Disability,92,13.03,13.1,8.1,16.9
IN,Indiana,OBESITY,Obesity among adults,Health Outcomes,92,39.76,39.65,30.8,47.3
IN,Indiana,PHLTH,Frequent physical distress among adults,Health Status,92,13.75,13.9,9.1,16.7
IN,Indiana,SELFCARE,Self-care disability among adults,Disability,92,3.5,3.5,2.0,5.0
IN,Indiana,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,92,8.61,8.55,4.9,11.9
IN,Indiana,SLEEP,Short sleep duration among adults,Health Risk Behaviors,92,37.63,37.75,31.1,43.4
IN,Indiana,STROKE,Stroke among adults,Health Outcomes,92,3.07,3.1,2.1,3.9
IN,Indiana,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,92,17.12,17.0,5.1,25.2
IN,Indiana,VISION,Vision disability among adults,Disability,92,4.69,4.8,2.8,6.6
KS,Kansas,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,105,10.88,9.9,6.8,25.1
KS,Kansas,ARTHRITIS,Arthritis among adults,Health Outcomes,105,23.84,23.9,20.1,26.1
KS,Kansas,BINGE,Binge drinking among adults,Health Risk Behaviors,105,17.7,17.8,15.1,19.7
KS,Kansas,BPHIGH,High blood pressure among adults,Health Outcomes,105,31.78,31.6,28.8,35.9
KS,Kansas,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,105,59.47,59.4,57.6,61.5
KS,Kansas,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,105,7.03,7.2,5.5,7.4
KS,Kansas,CASTHMA,Current asthma among adults,Health Outcomes,105,10.16,10.2,9.0,11.0
KS,Kansas,CHD,Coronary heart disease among adults,Health Outcomes,105,5.81,5.8,4.4,6.8
KS,Kansas,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,105,74.13,74.0,72.0,77.8
KS,Kansas,CHOLSCREEN,Cholesterol screening among adults,Prevention,105,81.76,81.8,79.4,86.7
KS,Kansas,COGNITION,Cognitive disability among adults,Disability,105,15.95,16.0,11.5,19.0
KS,Kansas,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,105,55.29,55.3,48.1,65.8
KS,Kansas,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,105,6.6,6.6,4.1,8.3
KS,Kansas,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,105,16.3,16.4,9.7,20.1
KS,Kansas,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,105,61.08,61.1,52.1,74.2
KS,Kansas,DEPRESSION,Depression among adults,Health Outcomes,105,21.77,22.0,17.6,24.0
KS,Kansas,DIABETES,Diagnosed diabetes among adults,Health Outcomes,105,10.17,10.0,8.3,13.9
KS,Kansas,DISABILITY,Any disability among adults,Disability,105,30.99,31.1,23.6,36.3
KS,Kansas,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,105,22.01,21.7,17.1,27.2
KS,Kansas,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,105,14.29,13.7,7.7,24.5
KS,Kansas,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,105,8.42,8.2,3.8,14.3
KS,Kansas,GHLTH,Fair or poor self-rated health status among adults,Health Status,105,18.62,18.4,11.8,26.0
KS,Kansas,HEARING,Hearing disability among adults,Disability,105,7.1,7.1,5.5,8.2
KS,Kansas,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,105,31.61,31.5,30.0,35.3
KS,Kansas,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,105,12.51,11.9,8.1,21.1
KS,Kansas,INDEPLIVE,Independent living disability among adults,Disability,105,8.17,8.2,5.4,10.1
KS,Kansas,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,105,7.84,7.7,4.9,11.9
KS,Kansas,LONELINESS,Loneliness among adults,Health-Related Social Needs,105,31.65,31.5,28.5,34.9
KS,Kansas,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,105,27.33,27.1,18.7,38.1
KS,Kansas,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,105,71.73,71.7,64.9,78.3
KS,Kansas,MHLTH,Frequent mental distress among adults,Health Status,105,17.71,17.7,13.7,19.7
KS,Kansas,MOBILITY,Mobility disability among adults,Disability,105,12.83,12.8,8.7,16.2
KS,Kansas,OBESITY,Obesity among adults,Health Outcomes,105,38.92,39.3,30.9,44.5
KS,Kansas,PHLTH,Frequent physical distress among adults,Health Status,105,12.69,12.6,9.1,15.2
KS,Kansas,SELFCARE,Self-care disability among adults,Disability,105,3.49,3.4,2.2,4.9
KS,Kansas,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,105,9.24,9.0,5.8,14.4
KS,Kansas,SLEEP,Short sleep duration among adults,Health Risk Behaviors,105,35.58,35.8,30.8,40.8
KS,Kansas,STROKE,Stroke among adults,Health Outcomes,105,2.97,3.0,2.2,3.7
KS,Kansas,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,105,14.14,14.1,7.1,23.6
KS,Kansas,VISION,Vision disability among adults,Disability,105,4.61,4.5,2.9,7.3
KY,Kentucky,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,120,58.4,58.3,50.1,65.6
KY,Kentucky,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,120,53.94,54.05,40.0,68.6
KY,Kentucky,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,120,71.33,71.4,63.2,78.4
KY,Kentucky,SLEEP,Short sleep duration among adults,Health Risk Behaviors,120,41.72,41.7,35.9,46.1
KY,Kentucky,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,120,22.87,22.05,7.4,41.1
LA,Louisiana,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,64,10.2,10.1,7.3,16.0
LA,Louisiana,ARTHRITIS,Arthritis among adults,Health Outcomes,64,27.62,27.75,23.4,30.9
LA,Louisiana,BINGE,Binge drinking among adults,Health Risk Behaviors,64,17.89,18.1,14.3,21.0
LA,Louisiana,BPHIGH,High blood pressure among adults,Health Outcomes,64,41.16,40.9,34.0,52.5
LA,Louisiana,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64,63.61,63.45,60.0,67.5
LA,Louisiana,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,64,6.43,6.5,5.3,7.3
LA,Louisiana,CASTHMA,Current asthma among adults,Health Outcomes,64,10.62,10.7,9.1,12.2
LA,Louisiana,CHD,Coronary heart disease among adults,Health Outcomes,64,6.9,6.8,5.6,9.5
LA,Louisiana,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,64,80.04,80.1,78.0,82.4
LA,Louisiana,CHOLSCREEN,Cholesterol screening among adults,Prevention,64,83.82,83.65,80.2,87.1
LA,Louisiana,COGNITION,Cognitive disability among adults,Disability,64,20.58,20.6,16.4,26.4
LA,Louisiana,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64,58.69,58.4,51.7,65.8
LA,Louisiana,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,64,8.57,8.55,6.1,12.7
LA,Louisiana,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,64,20.1,19.95,14.6,29.1
LA,Louisiana,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,64,53.1,53.75,38.7,64.5
LA,Louisiana,DEPRESSION,Depression among adults,Health Outcomes,64,27.71,27.8,22.5,31.4
LA,Louisiana,DIABETES,Diagnosed diabetes among adults,Health Outcomes,64,14.18,14.3,10.6,21.3
LA,Louisiana,DISABILITY,Any disability among adults,Disability,64,39.54,39.6,32.1,50.1
LA,Louisiana,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,64,30.39,30.3,25.4,37.8
LA,Louisiana,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,64,26.28,26.65,15.9,46.8
LA,Louisiana,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,64,23.14,22.4,11.9,46.6
LA,Louisiana,GHLTH,Fair or poor self-rated health status among adults,Health Status,64,26.22,26.0,18.8,39.7
LA,Louisiana,HEARING,Hearing disability among adults,Disability,64,7.64,7.8,6.1,8.9
LA,Louisiana,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,64,34.49,34.6,32.0,36.1
LA,Louisiana,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,64,19.69,19.3,12.7,33.6
LA,Louisiana,INDEPLIVE,Independent living disability among adults,Disability,64,11.35,11.25,8.0,17.2
LA,Louisiana,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,64,13.21,13.15,8.5,23.5
LA,Louisiana,LONELINESS,Loneliness among adults,Health-Related Social Needs,64,37.87,38.0,33.5,41.8
LA,Louisiana,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,64,32.72,32.35,23.9,44.1
LA,Louisiana,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,64,77.14,76.9,71.1,82.8
LA,Louisiana,MHLTH,Frequent mental distress among adults,Health Status,64,21.23,21.3,17.9,23.8
LA,Louisiana,MOBILITY,Mobility disability among adults,Disability,64,17.49,17.3,12.6,26.3
LA,Louisiana,OBESITY,Obesity among adults,Health Outcomes,64,42.19,42.35,34.2,51.7
LA,Louisiana,PHLTH,Frequent physical distress among adults,Health Status,64,15.8,15.85,12.7,20.2
LA,Louisiana,SELFCARE,Self-care disability among adults,Disability,64,5.34,5.15,3.4,10.0
LA,Louisiana,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,64,14.76,14.45,8.8,27.8
LA,Louisiana,SLEEP,Short sleep duration among adults,Health Risk Behaviors,64,41.85,41.75,36.7,48.4
LA,Louisiana,STROKE,Stroke among adults,Health Outcomes,64,4.11,4.0,3.0,6.5
LA,Louisiana,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,64,21.57,20.65,11.6,43.5
LA,Louisiana,VISION,Vision disability among adults,Disability,64,7.18,6.95,4.7,13.1
MA,Massachusetts,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,14,5.29,4.9,4.0,8.5
MA,Massachusetts,ARTHRITIS,Arthritis among adults,Health Outcomes,14,22.69,22.35,20.7,25.7
MA,Massachusetts,BINGE,Binge drinking among adults,Health Risk Behaviors,14,18.72,19.0,17.3,20.1
MA,Massachusetts,BPHIGH,High blood pressure among adults,Health Outcomes,14,27.91,27.6,25.6,31.2
MA,Massachusetts,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,14,55.56,55.5,53.7,58.6
MA,Massachusetts,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,14,7.33,7.35,6.2,7.9
MA,Massachusetts,CASTHMA,Current asthma among adults,Health Outcomes,14,11.79,11.9,10.8,12.8
MA,Massachusetts,CHD,Coronary heart disease among adults,Health Outcomes,14,4.94,4.95,4.3,5.8
MA,Massachusetts,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,14,79.29,79.55,77.9,80.2
MA,Massachusetts,CHOLSCREEN,Cholesterol screening among adults,Prevention,14,88.52,88.55,86.5,90.0
MA,Massachusetts,COGNITION,Cognitive disability among adults,Disability,14,14.31,14.3,11.8,17.7
MA,Massachusetts,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,14,63.63,64.55,59.6,66.7
MA,Massachusetts,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,14,5.26,5.3,3.9,6.7
MA,Massachusetts,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,14,11.91,11.55,8.8,16.0
MA,Massachusetts,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,14,69.56,70.3,60.5,74.9
MA,Massachusetts,DEPRESSION,Depression among adults,Health Outcomes,14,25.06,25.1,22.5,27.8
MA,Massachusetts,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14,8.34,8.15,7.1,10.5
MA,Massachusetts,DISABILITY,Any disability among adults,Disability,14,26.12,26.2,22.2,33.8
MA,Massachusetts,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,14,23.99,23.65,21.9,29.5
MA,Massachusetts,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,14,12.57,12.1,9.0,19.7
MA,Massachusetts,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,14,14.53,14.4,9.4,23.7
MA,Massachusetts,GHLTH,Fair or poor self-rated health status among adults,Health Status,14,15.5,15.2,12.3,22.0
