stateabbr,statedesc,locationname,locationid,totalpopulation,health_burden_score,burden_percentile,burden_category,indicator_count,indicator_completeness,top_indicator_1,top_indicator_2,top_indicator_3
GA,Georgia,Macon,13193,11817,1.8687683483082689,98.37618403247632,Very High,11,1.0,STROKE,DIABETES,BPHIGH
WV,West Virginia,Wyoming,54109,20277,1.840488679015713,98.34235453315291,Very High,11,1.0,MHLTH,DEPRESSION,COPD
AR,Arkansas,Lafayette,5073,6095,1.8348991750825996,98.3085250338295,Very High,11,1.0,LPA,GHLTH,STROKE
MS,Mississippi,Sunflower,28133,24468,1.826670221113139,98.27469553450608,Very High,11,1.0,STROKE,BPHIGH,DIABETES
GA,Georgia,Telfair,13271,10920,1.8065262528108563,98.24086603518268,Very High,11,1.0,STROKE,DIABETES,ACCESS2
AR,Arkansas,St. Francis,5123,22101,1.7915594439648337,98.20703653585927,Very High,11,1.0,BPHIGH,STROKE,LPA
WV,West Virginia,Lincoln,54043,19701,1.791153028323576,98.17320703653586,Very High,11,1.0,MHLTH,DEPRESSION,COPD
SD,South Dakota,Jackson,46071,2776,1.787931859928362,98.13937753721244,Very High,11,1.0,CSMOKING,STROKE,COPD
GA,Georgia,Hancock,13141,8676,1.7829974351820252,98.10554803788904,Very High,11,1.0,STROKE,DIABETES,BPHIGH
WV,West Virginia,Webster,54101,8045,1.7829971837195806,98.07171853856563,Very High,11,1.0,MHLTH,DEPRESSION,COPD
MO,Missouri,Pemiscot,29155,14613,1.7800614905351024,98.03788903924222,Very High,11,1.0,COPD,CSMOKING,LPA
OK,Oklahoma,Adair,40001,19627,1.778420180951033,98.0040595399188,Very High,11,1.0,CSMOKING,LPA,STROKE
GA,Georgia,Atkinson,13003,8293,1.7756765374936363,97.9702300405954,Very High,11,1.0,ACCESS2,GHLTH,STROKE
MS,Mississippi,Leflore,28083,26378,1.768307676093361,97.93640054127198,Very High,11,1.0,STROKE,BPHIGH,DIABETES
LA,Louisiana,Red River,22081,7356,1.7652448604405426,97.90257104194858,Very High,11,1.0,STROKE,BPHIGH,GHLTH
MS,Mississippi,Noxubee,28103,9914,1.7506959779960949,97.86874154262516,Very High,11,1.0,STROKE,BPHIGH,DIABETES
NC,North Carolina,Robeson,37155,117365,1.7492685555577303,97.83491204330176,Very High,11,1.0,STROKE,DIABETES,OBESITY
WV,West Virginia,Roane,54087,13743,1.7478606950827411,97.80108254397834,Very High,11,1.0,MHLTH,DEPRESSION,COPD
LA,Louisiana,Webster,22119,35238,1.7449692898444764,97.76725304465494,Very High,11,1.0,STROKE,MHLTH,COPD
SD,South Dakota,Dewey,46041,5208,1.7384873901168965,97.73342354533152,Very High,11,1.0,CSMOKING,STROKE,DIABETES
LA,Louisiana,Avoyelles,22009,38408,1.732703930048994,97.69959404600812,Very High,11,1.0,BPHIGH,MHLTH,COPD
TX,Texas,Cochran,48079,2509,1.731948657793359,97.66576454668473,Very High,11,1.0,ACCESS2,GHLTH,LPA
WV,West Virginia,Clay,54015,7783,1.7256934556707095,97.6319350473613,Very High,11,1.0,MHLTH,DEPRESSION,COPD
TX,Texas,Willacy,48489,20037,1.7141355965023144,97.59810554803788,Very High,11,1.0,ACCESS2,GHLTH,DIABETES
TX,Texas,San Augustine,48405,7833,1.7089263492197342,97.56427604871448,Very High,11,1.0,COPD,STROKE,GHLTH
SC,South Carolina,Dillon,45033,27698,1.6875381763307231,97.53044654939109,Very High,11,1.0,STROKE,DIABETES,COPD
TN,Tennessee,Lauderdale,47097,24610,1.680667523384927,97.49661705006766,Very High,11,1.0,CSMOKING,MHLTH,OBESITY
WV,West Virginia,Braxton,54007,12162,1.6753599097858125,97.46278755074424,Very High,11,1.0,MHLTH,COPD,CSMOKING
MS,Mississippi,Bolivar,28011,28968,1.6744607708194996,97.42895805142084,Very High,11,1.0,BPHIGH,STROKE,DIABETES
AL,Alabama,Conecuh,1035,11174,1.6582885430700147,97.39512855209745,Very High,11,1.0,BPHIGH,STROKE,DIABETES
LA,Louisiana,Franklin,22041,19285,1.652494529022904,97.36129905277402,Very High,11,1.0,COPD,STROKE,MHLTH
GA,Georgia,Stewart,13259,4674,1.6501461608342785,97.3274695534506,Very High,11,1.0,ACCESS2,STROKE,DIABETES
AL,Alabama,Dallas,1047,36165,1.643727217728466,97.2936400541272,Very High,11,1.0,BPHIGH,STROKE,DIABETES
SD,South Dakota,Bennett,46007,3305,1.643449265419472,97.2598105548038,Very High,11,1.0,CSMOKING,STROKE,DIABETES
GA,Georgia,Terrell,13273,8718,1.6372949766615987,97.22598105548036,Very High,11,1.0,STROKE,DIABETES,BPHIGH
AR,Arkansas,Chicot,5017,9538,1.6365053392041835,97.19215155615696,Very High,11,1.0,BPHIGH,STROKE,LPA
AK,Alaska,Bethel,2050,18224,1.632745819680868,97.15832205683355,Very High,11,1.0,CSMOKING,STROKE,GHLTH
MS,Mississippi,Washington,28151,41946,1.6223027529102736,97.12449255751014,Very High,11,1.0,STROKE,BPHIGH,DIABETES
GA,Georgia,Treutlen,13283,6341,1.6212059906926286,97.09066305818676,Very High,11,1.0,STROKE,COPD,DIABETES
LA,Louisiana,St. Helena,22091,10774,1.6153767597302406,97.05683355886332,Very High,11,1.0,STROKE,BPHIGH,DIABETES
SC,South Carolina,Marlboro,45069,25704,1.609773090693586,97.02300405953991,Very High,11,1.0,STROKE,DIABETES,BPHIGH
SC,South Carolina,Marion,45067,28508,1.5970588309003817,96.98917456021653,Very High,11,1.0,DIABETES,STROKE,BPHIGH
OK,Oklahoma,Okfuskee,40107,11300,1.585771280266152,96.9553450608931,Very High,11,1.0,CSMOKING,COPD,STROKE
TN,Tennessee,Bledsoe,47007,15060,1.582566529387914,96.92151556156968,Very High,11,1.0,COPD,CSMOKING,MHLTH
MS,Mississippi,Wilkinson,28157,8058,1.5781266404364591,96.88768606224627,Very High,11,1.0,BPHIGH,STROKE,DIABETES
