year,stateabbr,statedesc,locationname,locationid,totalpopulation,indicator_count,indicator_completeness,health_burden_score,burden_rank,burden_percentile,burden_category,high_burden_flag,very_high_burden_flag,priority_flag
2023,SD,South Dakota,Oglala Lakota,46102,13434,11,1.0,3.591987579071729,1.0,100.0,Very High,True,True,True
2023,SD,South Dakota,Todd,46121,9199,11,1.0,3.334740947028234,2.0,99.96617050067658,Very High,True,True,True
2023,LA,Louisiana,East Carroll,22035,6829,11,1.0,3.16297839622122,3.0,99.93234100135318,Very High,True,True,True
2023,TN,Tennessee,Lake,47095,6347,11,1.0,2.7473138278883984,4.0,99.89851150202978,Very High,True,True,True
2023,AK,Alaska,Kusilvak,2158,8001,11,1.0,2.739373134949425,5.0,99.86468200270636,Very High,True,True,True
2023,LA,Louisiana,Madison,22065,9246,11,1.0,2.72205562151747,6.0,99.83085250338294,Very High,True,True,True
2023,AL,Alabama,Bullock,1011,9897,11,1.0,2.702222365794914,7.0,99.79702300405954,Very High,True,True,True
2023,WV,West Virginia,McDowell,54047,17439,11,1.0,2.702202630034302,8.0,99.76319350473612,Very High,True,True,True
2023,ND,North Dakota,Sioux,38085,3643,11,1.0,2.620722960540378,9.0,99.72936400541272,Very High,True,True,True
2023,MS,Mississippi,Humphreys,28053,7216,11,1.0,2.603350351043934,10.0,99.69553450608932,Very High,True,True,True
2023,AL,Alabama,Greene,1063,7341,11,1.0,2.584462670212301,11.0,99.6617050067659,Very High,True,True,True
2023,TN,Tennessee,Hancock,47067,6956,11,1.0,2.545186129519943,12.0,99.62787550744248,Very High,True,True,True
2023,LA,Louisiana,Claiborne,22027,13670,11,1.0,2.5074514743486747,13.0,99.59404600811908,Very High,True,True,True
2023,AL,Alabama,Perry,1105,7738,11,1.0,2.4940697748020666,14.0,99.56021650879568,Very High,True,True,True
2023,TX,Texas,Dimmit,48127,8257,11,1.0,2.483934291427307,15.0,99.52638700947226,Very High,True,True,True
2023,WV,West Virginia,Mingo,54059,22023,11,1.0,2.449209241583722,16.0,99.49255751014886,Very High,True,True,True
2023,MS,Mississippi,Holmes,28051,15777,11,1.0,2.43043039082877,17.0,99.45872801082544,Very High,True,True,True
2023,TX,Texas,Zavala,48507,9312,11,1.0,2.3505609519995443,18.0,99.42489851150202,Very High,True,True,True
2023,MS,Mississippi,Tunica,28143,9234,11,1.0,2.337898689025859,19.0,99.39106901217862,Very High,True,True,True
2023,MS,Mississippi,Sharkey,28125,3336,11,1.0,2.2997143957382646,20.0,99.35723951285522,Very High,True,True,True
2023,MS,Mississippi,Quitman,28119,5546,11,1.0,2.293205270468889,21.0,99.3234100135318,Very High,True,True,True
2023,LA,Louisiana,Tensas,22107,3764,11,1.0,2.26629772493077,22.0,99.28958051420838,Very High,True,True,True
