indicator,correlation_with_burden,observations
GHLTH,0.9387555107263832,2956
COPD,0.9178041954929109,2956
STROKE,0.9136815569537624,2956
LPA,0.902357156065329,2956
DIABETES,0.9008999310153984,2956
CSMOKING,0.88538018646994,2956
BPHIGH,0.8836628906462349,2956
MHLTH,0.8346883354403862,2956
OBESITY,0.7718618614491309,2956
ACCESS2,0.502262200602383,2956
DEPRESSION,0.3318778205603629,2956
